"","Name","Year","Sex","Age","Height","Weight","Team","NOC","Event","Medal"
"1","Mariya Vasilyevna Abakumova (-Tarabina)",2008,"F",22,179,80,"Russia","RUS","Athletics Women's Javelin Throw","Silver"
"2","Jos Manuel Abascal Gmez",1984,"M",26,182,67,"Spain","ESP","Athletics Men's 1,500 metres","Bronze"
"3","Andrey Khakimovich Abduvaliyev",1992,"M",26,190,125,"Unified Team","EUN","Athletics Men's Hammer Throw","Gold"
"4","Addis Abebe",1992,"M",21,160,50,"Ethiopia","ETH","Athletics Men's 10,000 metres","Bronze"
"5","Gezahgne Abera",2000,"M",22,166,58,"Ethiopia","ETH","Athletics Men's Marathon","Gold"
"6","Nils Georg berg",1912,"M",19,181,78,"Sweden","SWE","Athletics Men's Long Jump","Bronze"
"7","Nils Georg berg",1912,"M",19,181,78,"Sweden","SWE","Athletics Men's Triple Jump","Silver"
"8","Elvan Abeylegesse",2008,"F",25,159,40,"Turkey","TUR","Athletics Women's 5,000 metres","Silver"
"9","Edgar Allen ""Ed"" Ablowich",1932,"M",19,182,68,"United States","USA","Athletics Men's 4 x 400 metres Relay","Gold"
"10","Harold Maurice Abrahams",1924,"M",24,183,75,"Great Britain","GBR","Athletics Men's 100 metres","Gold"
"11","Harold Maurice Abrahams",1924,"M",24,183,75,"Great Britain","GBR","Athletics Men's 4 x 100 metres Relay","Silver"
"12","Erik Adolf Efraim Abrahamsson",1920,"M",22,172,61,"Sweden","SWE","Athletics Men's Long Jump","Bronze"
"13","Benjamin Willard ""Ben"" Adams",1912,"M",22,188,78,"United States","USA","Athletics Men's Standing High Jump","Silver"
"14","Benjamin Willard ""Ben"" Adams",1912,"M",22,188,78,"United States","USA","Athletics Men's Standing Long Jump","Bronze"
"15","Platt Adams",1912,"M",27,188,78,"United States","USA","Athletics Men's Standing High Jump","Gold"
"16","Platt Adams",1912,"M",27,188,78,"United States","USA","Athletics Men's Standing Long Jump","Silver"
"17","Valerie Kasanita Adams-Vili (-Price)",2008,"F",23,193,120,"New Zealand","NZL","Athletics Women's Shot Put","Gold"
"18","Valerie Kasanita Adams-Vili (-Price)",2012,"F",27,193,120,"New Zealand","NZL","Athletics Women's Shot Put","Gold"
"19","Valerie Kasanita Adams-Vili (-Price)",2016,"F",31,193,120,"New Zealand","NZL","Athletics Women's Shot Put","Silver"
"20","Olapade Charles Adeniken",1992,"M",22,186,78,"Nigeria","NGR","Athletics Men's 4 x 100 metres Relay","Silver"
"21","Derrick Ralph Adkins",1996,"M",26,188,80,"United States","USA","Athletics Men's 400 metres Hurdles","Gold"
"22","Olabisi ""Bisi"" Afolabi",1996,"F",20,180,62,"Nigeria","NGR","Athletics Women's 4 x 400 metres Relay","Silver"
"23","Jorge Luis Aguilera Ruiz",1992,"M",26,172,64,"Cuba","CUB","Athletics Men's 4 x 100 metres Relay","Bronze"
"24","Timothy Joseph ""Tim"" Ahearne",1908,"M",22,170,57,"Great Britain","GBR","Athletics Men's Triple Jump","Gold"
"25","Arne Per hman",1948,"M",23,176,64,"Sweden","SWE","Athletics Men's Triple Jump","Gold"
"26","Marlene Ahrens Ostertag (-Ebensperger)",1956,"F",23,176,70,"Chile","CHI","Athletics Women's Javelin Throw","Silver"
"27","John Creyghton Ainsworth-Davis",1920,"M",25,NA,NA,"Great Britain","GBR","Athletics Men's 4 x 400 metres Relay","Gold"
"28","Mobolade Abimbola Ajomale",2016,"M",20,180,62,"Canada","CAN","Athletics Men's 4 x 100 metres Relay","Bronze"
"29","Chioma Ajunwa (-Opara)",1996,"F",24,164,57,"Nigeria","NGR","Athletics Women's Long Jump","Gold"
"30","Kriss Kezie Uche Chukwu Duru Akabusi",1984,"M",25,185,81,"Great Britain","GBR","Athletics Men's 4 x 400 metres Relay","Silver"
"31","Kriss Kezie Uche Chukwu Duru Akabusi",1992,"M",33,185,81,"Great Britain","GBR","Athletics Men's 400 metres Hurdles","Bronze"
"32","Kriss Kezie Uche Chukwu Duru Akabusi",1992,"M",33,185,81,"Great Britain","GBR","Athletics Men's 4 x 400 metres Relay","Bronze"
"33","John Akii-Bua",1972,"M",22,188,77,"Uganda","UGA","Athletics Men's 400 metres Hurdles","Gold"
"34","Morolake Akinosun",2016,"F",22,163,61,"United States","USA","Athletics Women's 4 x 100 metres Relay","Gold"
"35","Liudmyla Vasylivna Aksenova (Shapovalova-)",1976,"F",29,165,58,"Soviet Union","URS","Athletics Women's 4 x 400 metres Relay","Bronze"
"36","Aleksandr Timofeyevich Aksinin",1976,"M",21,173,67,"Soviet Union","URS","Athletics Men's 4 x 100 metres Relay","Bronze"
"37","Aleksandr Timofeyevich Aksinin",1980,"M",25,173,67,"Soviet Union","URS","Athletics Men's 4 x 100 metres Relay","Gold"
"38","Hadi Soua'an Al-Somaily Jaadan",2000,"M",23,191,72,"Saudi Arabia","KSA","Athletics Men's 400 metres Hurdles","Silver"
"39","Ebbe Gustav Bertil Albertsson (-Andersson)",1948,"M",26,177,67,"Sweden","SWE","Athletics Men's 10,000 metres","Bronze"
"40","David Donald ""Dave"" Albritton",1936,"M",23,191,79,"United States","USA","Athletics Men's High Jump","Silver"
"41","Frederick Pitt ""Fred"" Alderman",1928,"M",22,177,75,"United States","USA","Athletics Men's 4 x 400 metres Relay","Gold"
"42","Virgilijus Alekna",2000,"M",28,200,130,"Lithuania","LTU","Athletics Men's Discus Throw","Gold"
"43","Virgilijus Alekna",2004,"M",32,200,130,"Lithuania","LTU","Athletics Men's Discus Throw","Gold"
"44","Virgilijus Alekna",2008,"M",36,200,130,"Lithuania","LTU","Athletics Men's Discus Throw","Bronze"
"45","Lidiya Nikolayevna Alfeyeva",1976,"F",30,170,62,"Soviet Union","URS","Athletics Women's Long Jump","Bronze"
"46","Nia Sifaatihii Ali",2016,"F",27,170,65,"United States","USA","Athletics Women's 100 metres Hurdles","Silver"
"47","mile Ali Khan",1920,"M",17,180,69,"France","FRA","Athletics Men's 4 x 100 metres Relay","Silver"
"48","Deji Aliu",2004,"M",28,187,75,"Nigeria","NGR","Athletics Men's 4 x 100 metres Relay","Bronze"
"49","Nathon Allen",2016,"M",20,178,NA,"Jamaica","JAM","Athletics Men's 4 x 400 metres Relay","Silver"
"50","Ade Franci Alleyne-Forte",2012,"M",23,180,73,"Trinidad and Tobago","TTO","Athletics Men's 4 x 400 metres Relay","Bronze"
"51","Knut Emil Willehard Alm",1920,"M",31,170,63,"Sweden","SWE","Athletics Men's Cross-Country, Team","Bronze"
"52","Erik Albin Almlf",1912,"M",20,188,73,"Sweden","SWE","Athletics Men's Triple Jump","Bronze"
"53","Erik Albin Almlf",1920,"M",28,188,73,"Sweden","SWE","Athletics Men's Triple Jump","Bronze"
"54","Arvid Folke Alnevik (Andersson-)",1948,"M",28,182,70,"Sweden","SWE","Athletics Men's 4 x 400 metres Relay","Bronze"
"55","Glory Alozie Oluchi",2000,"F",22,155,51,"Nigeria","NGR","Athletics Women's 100 metres Hurdles","Silver"
"56","Fernando ""Nando"" Altimani",1912,"M",18,177,70,"Italy","ITA","Athletics Men's 10 kilometres Walk","Bronze"
"57","Ernesto Ambrosini",1920,"M",25,NA,NA,"Italy","ITA","Athletics Men's 3,000 metres Steeplechase","Bronze"
"58","Judith Florence ""Judy"" Amoore-Pollock",1964,"F",24,163,55,"Australia","AUS","Athletics Women's 400 metres","Bronze"
"59","Nijel Carlos Amilfitano Amos",2012,"M",18,179,60,"Botswana","BOT","Athletics Men's 800 metres","Silver"
"60","Carl Albert Andersen",1900,"M",23,NA,NA,"Norway","NOR","Athletics Men's Pole Vault","Bronze"
"61","Ove Andersen",1928,"M",28,178,70,"Finland","FIN","Athletics Men's 3,000 metres Steeplechase","Bronze"
"62","Grete Andersen-Waitz",1984,"F",30,172,53,"Norway","NOR","Athletics Women's Marathon","Silver"
"63","Andrea Arlene Anderson (-Bolder)",2000,"F",22,164,61,"United States","USA","Athletics Women's 4 x 400 metres Relay","Gold"
"64","John Franklin Anderson",1932,"M",25,191,97,"United States","USA","Athletics Men's Discus Throw","Gold"
"65","Stephen Eugene ""Steve"" Anderson",1928,"M",22,190,77,"United States","USA","Athletics Men's 110 metres Hurdles","Silver"
"66","Svensk Hjalmar Zakeus Andersson",1912,"M",22,172,63,"Sweden","SWE","Athletics Men's Cross-Country, Individual","Silver"
"67","Svensk Hjalmar Zakeus Andersson",1912,"M",22,172,63,"Sweden","SWE","Athletics Men's Cross-Country, Team","Gold"
"68","Georges Ivan ""Go"" Andr (Monnard-)",1908,"M",18,188,85,"France","FRA","Athletics Men's High Jump","Silver"
"69","Georges Ivan ""Go"" Andr (Monnard-)",1920,"M",30,188,85,"France","FRA","Athletics Men's 4 x 400 metres Relay","Bronze"
"70","Alessandro Andrei",1984,"M",25,191,118,"Italy","ITA","Athletics Men's Shot Put","Gold"
"71","Vladimir Vasilyevich Andreyev",2000,"M",34,170,58,"Russia","RUS","Athletics Men's 20 kilometres Walk","Bronze"
"72","Tatyana Mikhaylovna Anisimova (Poluboyarova-)",1976,"F",26,172,65,"Soviet Union","URS","Athletics Women's 100 metres Hurdles","Silver"
"73","Vera Vasilyevna Anisimova (Mikheyeva-)",1976,"F",24,167,52,"Soviet Union","URS","Athletics Women's 4 x 100 metres Relay","Bronze"
"74","Vera Vasilyevna Anisimova (Mikheyeva-)",1980,"F",28,167,52,"Soviet Union","URS","Athletics Women's 4 x 100 metres Relay","Silver"
"75","Mrta Antal-Rudas",1964,"F",27,164,66,"Hungary","HUN","Athletics Women's Javelin Throw","Silver"
"76","Salvatore Antibo",1988,"M",26,170,52,"Italy","ITA","Athletics Men's 10,000 metres","Silver"
"77","Olena Anatolivna Antonova",2008,"F",36,180,95,"Ukraine","UKR","Athletics Women's Discus Throw","Bronze"
"78","Nataliya Nikolayevna Antyukh",2004,"F",23,182,69,"Russia","RUS","Athletics Women's 400 metres","Bronze"
"79","Nataliya Nikolayevna Antyukh",2004,"F",23,182,69,"Russia","RUS","Athletics Women's 4 x 400 metres Relay","Silver"
"80","Nataliya Nikolayevna Antyukh",2012,"F",31,182,69,"Russia","RUS","Athletics Women's 400 metres Hurdles","Gold"
"81","Nataliya Nikolayevna Antyukh",2012,"F",31,182,69,"Russia","RUS","Athletics Women's 4 x 400 metres Relay","Silver"
"82","Aleksandr Aleksandrovich Anufriyev",1952,"M",26,167,63,"Soviet Union","URS","Athletics Men's 10,000 metres","Bronze"
"83","Sad Aouita",1984,"M",24,175,58,"Morocco","MAR","Athletics Men's 5,000 metres","Gold"
"84","Sad Aouita",1988,"M",28,175,58,"Morocco","MAR","Athletics Men's 800 metres","Bronze"
"85","Eref Apak",2004,"M",22,184,120,"Turkey","TUR","Athletics Men's Hammer Throw","Bronze"
"86","William Reuben ""Willie"" Applegarth",1912,"M",21,170,59,"Great Britain","GBR","Athletics Men's 200 metres","Bronze"
"87","William Reuben ""Willie"" Applegarth",1912,"M",21,170,59,"Great Britain","GBR","Athletics Men's 4 x 100 metres Relay","Gold"
"88","Hirooki Arai",2016,"M",28,180,62,"Japan","JPN","Athletics Men's 50 kilometres Walk","Bronze"
"89","John ""Jack"" Archer",1948,"M",26,NA,NA,"Great Britain","GBR","Athletics Men's 4 x 100 metres Relay","Silver"
"90","Edward Blake ""Ed"" Archibald",1908,"M",24,182,77,"Canada","CAN","Athletics Men's Pole Vault","Bronze"
"91","Daphne Arden (-Slater)",1964,"F",22,167,60,"Great Britain","GBR","Athletics Women's 4 x 100 metres Relay","Bronze"
"92","Yuko Arimori (-Wilson)",1992,"F",25,166,47,"Japan","JPN","Athletics Women's Marathon","Silver"
"93","Yuko Arimori (-Wilson)",1996,"F",29,166,47,"Japan","JPN","Athletics Women's Marathon","Bronze"
"94","Vasyl Albertovych Arkhypenko",1980,"M",23,178,65,"Soviet Union","URS","Athletics Men's 400 metres Hurdles","Silver"
"95","Heather Joy Armitage (-Young, -McClelland)",1952,"F",19,171,64,"Great Britain","GBR","Athletics Women's 4 x 100 metres Relay","Bronze"
"96","Heather Joy Armitage (-Young, -McClelland)",1956,"F",23,171,64,"Great Britain","GBR","Athletics Women's 4 x 100 metres Relay","Silver"
"97","Raymond Richard ""Ray"" Armstead",1984,"M",24,187,76,"United States","USA","Athletics Men's 4 x 400 metres Relay","Gold"
"98","Aaron Nigel Armstrong",2008,"M",30,173,70,"Trinidad and Tobago","TTO","Athletics Men's 4 x 100 metres Relay","Gold"
"99","Dylan Armstrong",2008,"M",27,190,125,"Canada","CAN","Athletics Men's Shot Put","Bronze"
"100","Valeriano Pompeo Maurizio ""Valerio"" Arri",1920,"M",27,NA,NA,"Italy","ITA","Athletics Men's Marathon","Bronze"
"101","Christine Arron",2004,"F",30,177,64,"France","FRA","Athletics Women's 4 x 100 metres Relay","Bronze"
"102","Yevhen Oleksandrovych Arzhanov",1972,"M",24,179,68,"Soviet Union","URS","Athletics Men's 800 metres","Silver"
"103","Nobuharu Asahara",2008,"M",36,179,76,"Japan","JPN","Athletics Men's 4 x 100 metres Relay","Silver"
"104","Charles Asati",1968,"M",22,178,68,"Kenya","KEN","Athletics Men's 4 x 400 metres Relay","Silver"
"105","Charles Asati",1972,"M",26,178,68,"Kenya","KEN","Athletics Men's 4 x 400 metres Relay","Gold"
"106","Lesley Ashburner",1904,"M",20,NA,NA,"United States","USA","Athletics Men's 110 metres Hurdles","Bronze"
"107","Horace Ashenfelter, III",1952,"M",29,178,66,"United States","USA","Athletics Men's 3,000 metres Steeplechase","Gold"
"108","Geraldina Rachel ""Dina"" Asher-Smith",2016,"F",20,164,55,"Great Britain","GBR","Athletics Women's 4 x 100 metres Relay","Bronze"
"109","Evelyn Ashford (-Washington)",1984,"F",27,165,52,"United States","USA","Athletics Women's 100 metres","Gold"
"110","Evelyn Ashford (-Washington)",1984,"F",27,165,52,"United States","USA","Athletics Women's 4 x 100 metres Relay","Gold"
"111","Evelyn Ashford (-Washington)",1988,"F",31,165,52,"United States","USA","Athletics Women's 100 metres","Silver"
"112","Evelyn Ashford (-Washington)",1988,"F",31,165,52,"United States","USA","Athletics Women's 4 x 100 metres Relay","Gold"
"113","Evelyn Ashford (-Washington)",1992,"F",35,165,52,"United States","USA","Athletics Women's 4 x 100 metres Relay","Gold"
"114","Nickel Ashmeade",2016,"M",26,183,77,"Jamaica","JAM","Athletics Men's 4 x 100 metres Relay","Gold"
"115","Gerald Howard ""Gerry"" Ashworth",1964,"M",22,180,75,"United States","USA","Athletics Men's 4 x 100 metres Relay","Gold"
"116","Arvo Askola",1936,"M",26,174,65,"Finland","FIN","Athletics Men's 10,000 metres","Silver"
"117","Sofia Assefa Abebe",2012,"F",24,167,52,"Ethiopia","ETH","Athletics Women's 3,000 metres Steeplechase","Bronze"
"118","Alina (Galina-) Astafei (-Stavariu, -Kreiig)",1992,"F",23,181,59,"Romania","ROU","Athletics Women's High Jump","Silver"
"119","Igor Vyacheslavovich Astapkovich",1992,"M",29,192,120,"Unified Team","EUN","Athletics Men's Hammer Throw","Silver"
"120","Igor Vyacheslavovich Astapkovich",2000,"M",37,192,120,"Belarus","BLR","Athletics Men's Hammer Throw","Bronze"
"121","Sidney James Montford ""Sid"" Atkinson",1924,"M",23,186,76,"South Africa","RSA","Athletics Men's 110 metres Hurdles","Silver"
"122","Sidney James Montford ""Sid"" Atkinson",1928,"M",27,186,76,"South Africa","RSA","Athletics Men's 110 metres Hurdles","Gold"
"123","Musa Audu",2004,"M",24,174,75,"Nigeria","NGR","Athletics Men's 4 x 400 metres Relay","Bronze"
"124","Ingrid Auerswald-Lange (Brestrich-)",1980,"F",22,168,58,"East Germany","GDR","Athletics Women's 100 metres","Bronze"
"125","Ingrid Auerswald-Lange (Brestrich-)",1980,"F",22,168,58,"East Germany","GDR","Athletics Women's 4 x 100 metres Relay","Gold"
"126","Ingrid Auerswald-Lange (Brestrich-)",1988,"F",31,168,58,"East Germany","GDR","Athletics Women's 4 x 100 metres Relay","Silver"
"127","Rein Aun",1964,"M",24,189,88,"Soviet Union","URS","Athletics Men's Decathlon","Silver"
"128","Charles Allen Austin",1996,"M",28,183,77,"United States","USA","Athletics Men's High Jump","Gold"
"129","Hennadiy Valentynovych Avdieienko",1988,"M",24,202,82,"Soviet Union","URS","Athletics Men's High Jump","Gold"
"130","George Gordon Avery",1948,"M",23,NA,NA,"Australia","AUS","Athletics Men's Triple Jump","Silver"
"131","Mykola Viktorovych Avilov",1972,"M",24,191,89,"Soviet Union","URS","Athletics Men's Decathlon","Gold"
"132","Mykola Viktorovych Avilov",1976,"M",27,191,89,"Soviet Union","URS","Athletics Men's Decathlon","Bronze"
"133","Nduka Awazie",2000,"M",19,172,74,"Nigeria","NGR","Athletics Men's 4 x 400 metres Relay","Gold"
"134","Almaz Ayana Eba",2016,"F",24,166,47,"Ethiopia","ETH","Athletics Women's 5,000 metres","Bronze"
"135","Almaz Ayana Eba",2016,"F",24,166,47,"Ethiopia","ETH","Athletics Women's 10,000 metres","Gold"
"136","Sanjay Claude Ayre",2000,"M",20,188,84,"Jamaica","JAM","Athletics Men's 4 x 400 metres Relay","Silver"
"137","Mehdi Abdelhafid Baala",2008,"M",29,183,65,"France","FRA","Athletics Men's 1,500 metres","Bronze"
"138","Jaroslav Bba",2004,"M",19,199,86,"Czech Republic","CZE","Athletics Men's High Jump","Bronze"
"139","Inha Alvidasivna Babakova (Butkus-)",1996,"F",29,180,60,"Ukraine","UKR","Athletics Women's High Jump","Bronze"
"140","Henry Stoddard ""Harry"" Babcock",1912,"M",21,188,75,"United States","USA","Athletics Men's Pole Vault","Gold"
"141","Alonzo Carl Babers",1984,"M",22,188,70,"United States","USA","Athletics Men's 400 metres","Gold"
"142","Alonzo Carl Babers",1984,"M",22,188,70,"United States","USA","Athletics Men's 4 x 400 metres Relay","Gold"
"143","Richard Aldrich ""Rink"" Babka",1960,"M",23,195,121,"United States","USA","Athletics Men's Discus Throw","Silver"
"144","Stephen James ""Steve"" Backley",1992,"M",23,195,102,"Great Britain","GBR","Athletics Men's Javelin Throw","Bronze"
"145","Stephen James ""Steve"" Backley",1996,"M",27,195,102,"Great Britain","GBR","Athletics Men's Javelin Throw","Silver"
"146","Stephen James ""Steve"" Backley",2000,"M",31,195,102,"Great Britain","GBR","Athletics Men's Javelin Throw","Silver"
"147","Eric Natanael Backman",1920,"M",23,172,64,"Sweden","SWE","Athletics Men's 5,000 metres","Bronze"
"148","Eric Natanael Backman",1920,"M",23,172,64,"Sweden","SWE","Athletics Men's 3,000 metres, Team","Bronze"
"149","Eric Natanael Backman",1920,"M",23,172,64,"Sweden","SWE","Athletics Men's Cross-Country, Individual","Silver"
"150","Eric Natanael Backman",1920,"M",23,172,64,"Sweden","SWE","Athletics Men's Cross-Country, Team","Bronze"
"151","Charles James Bacon, Jr.",1908,"M",23,183,77,"United States","USA","Athletics Men's 400 metres Hurdles","Gold"
"152","Sunday Bada",2000,"M",31,188,79,"Nigeria","NGR","Athletics Men's 4 x 400 metres Relay","Gold"
"153","Andrzej Stanisaw Badeski",1964,"M",21,173,68,"Poland","POL","Athletics Men's 400 metres","Bronze"
"154","Yelizaveta Petrovna Bagryantseva (-Verkhoshanskaya)",1952,"F",31,170,76,"Soviet Union","URS","Athletics Women's Discus Throw","Silver"
"155","Oleksandr Mykolaiovych Bahach",1996,"M",29,194,135,"Ukraine","UKR","Athletics Men's Shot Put","Bronze"
"156","Laimut Baikauskait",1988,"F",32,162,58,"Soviet Union","URS","Athletics Women's 1,500 metres","Silver"
"157","Margaret Ann Bailes (Johnson-)",1968,"F",17,170,65,"United States","USA","Athletics Women's 4 x 100 metres Relay","Gold"
"158","Aleen May Bailey",2004,"F",23,170,64,"Jamaica","JAM","Athletics Women's 4 x 100 metres Relay","Gold"
"159","Angela Bailey",1984,"F",22,157,56,"Canada","CAN","Athletics Women's 4 x 100 metres Relay","Silver"
"160","Donovan Bailey",1996,"M",28,183,82,"Canada","CAN","Athletics Men's 100 metres","Gold"
"161","Donovan Bailey",1996,"M",28,183,82,"Canada","CAN","Athletics Men's 4 x 100 metres Relay","Gold"
"162","Emmanuel McDonald Bailey",1952,"M",31,180,65,"Great Britain","GBR","Athletics Men's 100 metres","Bronze"
"163","Kemar Bailey-Cole",2012,"M",20,193,84,"Jamaica","JAM","Athletics Men's 4 x 100 metres Relay","Gold"
"164","Kemar Bailey-Cole",2016,"M",24,193,84,"Jamaica","JAM","Athletics Men's 4 x 100 metres Relay","Gold"
"165","Andretti ""Dretti"" Bain",2008,"M",22,175,65,"Bahamas","BAH","Athletics Men's 4 x 400 metres Relay","Silver"
"166","George Hetzel Baird",1928,"M",21,175,66,"United States","USA","Athletics Men's 4 x 400 metres Relay","Gold"
"167","Keshia Chantay Baker (-Kirtz)",2012,"F",24,170,62,"United States","USA","Athletics Women's 4 x 400 metres Relay","Gold"
"168","Philip John Baker (-Noel-Baker)",1920,"M",30,NA,NA,"Great Britain","GBR","Athletics Men's 1,500 metres","Silver"
"169","Walter Thane Baker",1952,"M",20,183,72,"United States","USA","Athletics Men's 200 metres","Silver"
"170","Walter Thane Baker",1956,"M",25,183,72,"United States","USA","Athletics Men's 100 metres","Silver"
"171","Walter Thane Baker",1956,"M",25,183,72,"United States","USA","Athletics Men's 200 metres","Bronze"
"172","Walter Thane Baker",1956,"M",25,183,72,"United States","USA","Athletics Men's 4 x 100 metres Relay","Gold"
"173","Niki Bakogianni",1996,"F",28,170,52,"Greece","GRE","Athletics Women's High Jump","Silver"
"174","Iolanda Bala (-Ster)",1960,"F",23,185,72,"Romania","ROU","Athletics Women's High Jump","Gold"
"175","Iolanda Bala (-Ster)",1964,"F",27,185,72,"Romania","ROU","Athletics Women's High Jump","Gold"
"176","Stefano Baldini",2004,"M",33,176,62,"Italy","ITA","Athletics Men's Marathon","Gold"
"177","James Allan ""Jimmy"" Ball",1928,"M",25,180,69,"Canada","CAN","Athletics Men's 400 metres","Silver"
"178","James Allan ""Jimmy"" Ball",1928,"M",25,180,69,"Canada","CAN","Athletics Men's 4 x 400 metres Relay","Bronze"
"179","James Allan ""Jimmy"" Ball",1932,"M",29,180,69,"Canada","CAN","Athletics Men's 4 x 400 metres Relay","Bronze"
"180","Clicien Alexandre Roger Bambuck",1968,"M",22,180,75,"France","FRA","Athletics Men's 4 x 100 metres Relay","Bronze"
"181","Kirk Renaud Baptiste",1984,"M",22,184,79,"United States","USA","Athletics Men's 200 metres","Silver"
"182","Raymond James ""Ray"" Barbuti",1928,"M",22,183,82,"United States","USA","Athletics Men's 400 metres","Gold"
"183","Raymond James ""Ray"" Barbuti",1928,"M",22,183,82,"United States","USA","Athletics Men's 4 x 400 metres Relay","Gold"
"184","Nigel Chase Barker",1906,"M",23,NA,NA,"Australia","AUS","Athletics Men's 100 metres","Bronze"
"185","Nigel Chase Barker",1906,"M",23,NA,NA,"Australia","AUS","Athletics Men's 400 metres","Bronze"
"186","Sulo Richard Brlund",1936,"M",26,186,87,"Finland","FIN","Athletics Men's Shot Put","Silver"
"187","Arthur ""Art"" Barnard",1952,"M",23,180,77,"United States","USA","Athletics Men's 110 metres Hurdles","Bronze"
"188","Lee Stratford Barnes, Jr.",1924,"M",17,173,68,"United States","USA","Athletics Men's Pole Vault","Gold"
"189","Eric Randolph ""Randy"" Barnes",1988,"M",22,195,132,"United States","USA","Athletics Men's Shot Put","Silver"
"190","Eric Randolph ""Randy"" Barnes",1996,"M",30,195,132,"United States","USA","Athletics Men's Shot Put","Gold"
"191","Pascal Barr",1980,"M",21,174,66,"France","FRA","Athletics Men's 4 x 100 metres Relay","Bronze"
"192","Patrick Barr",1980,"M",21,172,63,"France","FRA","Athletics Men's 4 x 100 metres Relay","Bronze"
"193","Brigetta LaShea Barrett",2012,"F",21,183,64,"United States","USA","Athletics Women's High Jump","Silver"
"194","Jennifer Mae ""Jenny"" Barringer-Simpson",2016,"F",29,166,53,"United States","USA","Athletics Women's 1,500 metres","Bronze"
"195","Yarelis Barrios Castaeda",2008,"F",25,172,89,"Cuba","CUB","Athletics Women's Discus Throw","Silver"
"196","Harold Earl ""Hal"" Barron",1920,"M",25,183,64,"United States","USA","Athletics Men's 110 metres Hurdles","Silver"
"197","Erick Bernab Barrondo Garca",2012,"M",21,178,60,"Guatemala","GUA","Athletics Men's 20 kilometres Walk","Silver"
"198","Mutaz Essa Barshim",2012,"M",21,190,65,"Qatar","QAT","Athletics Men's High Jump","Bronze"
"199","Mutaz Essa Barshim",2016,"M",25,190,65,"Qatar","QAT","Athletics Men's High Jump","Silver"
"200","Leonid Volodymyrovych Barteniev",1956,"M",23,174,70,"Soviet Union","URS","Athletics Men's 4 x 100 metres Relay","Silver"
"201","Leonid Volodymyrovych Barteniev",1960,"M",26,174,70,"Soviet Union","URS","Athletics Men's 4 x 100 metres Relay","Silver"
"202","Josef Henri ""Josy"" Barthel",1952,"M",25,173,68,"Luxembourg","LUX","Athletics Men's 1,500 metres","Gold"
"203","Aleksandr Georgiyevich Baryshnikov",1976,"M",27,198,130,"Soviet Union","URS","Athletics Men's Shot Put","Bronze"
"204","Aleksandr Georgiyevich Baryshnikov",1980,"M",31,198,130,"Soviet Union","URS","Athletics Men's Shot Put","Silver"
"205","Dimitri David Bascou",2016,"M",29,181,80,"France","FRA","Athletics Men's 110 metres Hurdles","Bronze"
"206","Alfred Hilborn ""Al"" Bates",1928,"M",23,183,70,"United States","USA","Athletics Men's Long Jump","Bronze"
"207","Michael Dion Bates",1992,"M",22,180,86,"United States","USA","Athletics Men's 200 metres","Bronze"
"208","Jane Kimberley ""Kim"" Batten",1996,"F",27,170,57,"United States","USA","Athletics Women's 400 metres Hurdles","Silver"
"209","Rudolf (-Rezs) Bauer",1900,"M",21,NA,NA,"Hungary","HUN","Athletics Men's Discus Throw","Gold"
"210","James Steven ""Jamie"" Baulch (Mills-)",1996,"M",23,173,71,"Great Britain","GBR","Athletics Men's 4 x 400 metres Relay","Silver"
"211","Hermine ""Herma"" Bauma",1948,"F",33,161,68,"Austria","AUT","Athletics Women's Javelin Throw","Gold"
"212","Dieter Baumann",1988,"M",23,178,62,"West Germany","FRG","Athletics Men's 5,000 metres","Silver"
"213","Dieter Baumann",1992,"M",27,178,62,"Germany","GER","Athletics Men's 5,000 metres","Gold"
"214","Frank Baumgartl",1976,"M",21,176,61,"East Germany","GDR","Athletics Men's 3,000 metres Steeplechase","Bronze"
"215","Hans-Peter Baumgartner",1972,"M",23,190,71,"West Germany","FRG","Athletics Men's Long Jump","Silver"
"216","James Aloysius Bernard ""Jim"" Bausch",1932,"M",26,188,95,"United States","USA","Athletics Men's Decathlon","Gold"
"217","Daniel Bautista Rocha",1976,"M",23,170,68,"Mexico","MEX","Athletics Men's 20 kilometres Walk","Gold"
"218","Irving Knott ""Irv"" Baxter",1900,"M",24,NA,NA,"United States","USA","Athletics Men's High Jump","Gold"
"219","Irving Knott ""Irv"" Baxter",1900,"M",24,NA,NA,"United States","USA","Athletics Men's Standing High Jump","Silver"
"220","Irving Knott ""Irv"" Baxter",1900,"M",24,NA,NA,"United States","USA","Athletics Men's Pole Vault","Gold"
"221","Irving Knott ""Irv"" Baxter",1900,"M",24,NA,NA,"United States","USA","Athletics Men's Standing Long Jump","Silver"
"222","Irving Knott ""Irv"" Baxter",1900,"M",24,NA,NA,"United States","USA","Athletics Men's Standing Triple Jump","Silver"
"223","Filbert Bayi Sanka",1980,"M",27,183,59,"Tanzania","TAN","Athletics Men's 3,000 metres Steeplechase","Silver"
"224","Fita Bayissa",1992,"M",19,173,52,"Ethiopia","ETH","Athletics Men's 5,000 metres","Bronze"
"225","Robert ""Bob"" Beamon",1968,"M",22,191,70,"United States","USA","Athletics Men's Long Jump","Gold"
"226","Percy Morris Beard",1932,"M",24,193,84,"United States","USA","Athletics Men's 110 metres Hurdles","Silver"
